Nº	DESCRIÇÃO	CHASSI/SERIE	ANO	PLACA
CA-01	FORD F-4000 4X4	9BLF499X9B063067	2009	JVW0B14
CA-02	FORD F-4000 4X4	9BFLF49POHPO10990	2016/17	QDZ7J34
CA-03	FORD F-4000 4X4	9BFLF49P8HB010834	2016/17	QEB7C06
CA-04	FORD F-4000 4X4	9BFLF49P0FB003471	2014/15	QDK-4992
CA-05	FORD F-4000 4x4	9BFLF47P6FB005549	2015	QDA8I96
CA-06	FORD F-4000 4X5	9BFLF47P2FB005550	2015	QDA8I76
CA-07	CAMINHÃO WOLKSVAGEN WORKER 13.190	9533E7230ER419446	2014	FOJ-3709
CA-08	CAMINHÃO MERCEDES-BENZ L 1620/51	9BM6953048B598361	2008	JVW-1143
CA-09	CAMINHÃO MERCEDES-BENZ LA 1418/51	9BM3841142B317435	2002	NUI7H16
CA-10	CAMINHÃO MERCEDES-BENZ ATEGO 1725	9BM958078CB886789	2012	RHQ9I39
CA-11	CAMINHÃO MERCEDES-BENZ 1720 A/42	9BM6931826B488518	2006	RHQ9I34
CA-12	CAMINHÃO MERCEDES-BENZ ATEGO 1725/42	9BM9580780B932098	2013	RHW6G36
CA-13	CAMINHÃO MERCEDES-BENZ 1720 A/42	9BM6931826B488316	2006	RHQ9I85
CA-14	CAMINHÃO MERCEDES-BENZ 1720 A/42	9BM6931826B489549	2006	RHQ9I40
CA-15	CAMINHÃO MERCEDES-BENZ 1726		2016	BAX7D63
CC-01	CAMINHÃO MERCEDES-BENZ ATEGO 1725	9BM9580789B660932	2009	HLB-9675
CC-02	CAMINHÃO MERCEDES-BENZ ATEGO 1725	9BM9580789B661129	2009	HLB-8975
CC-03	CAMINHÃO MERCEDES-BENZ 2423K/36	9BM6333868B599537	2008	JVX-5403
CC-04	CAMINHÃO MERCEDES-BENZ LA 1418/51	9BM3841142B318138	2002	NAY4A96
CC-05	CAMINHÃO VW/14. 210 CRM 4X2	953677TG5SR007768	2024	SMN2H75
CM-01	CAMINHÃO MERCEDES-BENZ AXOR 3344 6X4	9BM958478EB965850	2014	OTL4B36
CM-02	CAMINHÃO MERCEDES-BENZ AXOR 3344 6X4	9BM958478EB964278	2014	OTL4D26
CM-03	CAMINHÃO MERCEDES-BENZ AXOR 3344 6X4	9BM958478EB966198	2014	OTL4C56
CM-04	CAMINHÃO MERCEDES-BENZ AXOR 2544 6X2	9BM958443CB856834	2012	ODP5G37
CM-05	CAMINHÃO MERCEDES-BENZ AXOR 3344 6X4	9BM958471GB020166	2015	FZV7C64
