tag;nome;referencia;preco;fornecedor;marca;aplicacao
2878;ABRAÇADEIRA 14MM 89-108;89-108;11.00;;;
2841;CONEXÃO ENGATE RAPIDO T LATAL 06MM;6MM;12.00;;;
3067;FORD FAROL DA F4000 L/D;FD25R;250.00;;;FORD F-4000
3049;MANCHAO VD04 A FRIO DIAGONAL;VD04;15.10;;;
2783;TEE SALDAVEL DE 20MM;20MM;8.00;;;
4048;CABO FLEX SOLDA 450/750V 35MM2;;57.00;;;
3108;CAIXA DE VIDEA 16 - 20 X 20 PARA DESBASTE;;290.00;;;
3193;COMPRESSOR DE 3 PISTÃO 40 PÉS 175 PSI 425L 220V;;9788.00;;;
316;CONEXÃO ENGATE RAPIDO PLASTICO 8MM;PU 8MM;2.00;;;
4296;CONEXÃO HIDRAULICA SEDE PLANA 45º 1.1/4;1.11/16X1.1/4;193.00;;;
3111;LIMA ROTATIVA DE 12MM PARA RETIFICA;;100.00;;;
3298;"MB MANGUEIRA 7/8"" R5 [DIREÇÃO HIDRÁULICA]";MANGUERIA R5;161.30;;;MB (modelo a definir)
3303;PARAFUSO 16 X 150MM AÇO 10.9 COM PORCA FLANGEADA;16 X 150MM AÇO 10.9;14.00;;;
4087;RETENTOR RODA TRAS. EXTERNA HL 09/21;90313T0002;88.70;;;
1993;SILICONE ACETICO INCOLOR 50G UNIPEGA ( BISNAGA );;10.00;;;
3113;VIGA PERFIL I 152,4 X 5,89 A36 (111,6KG 6 MTS;150 X 18 KG/M;1467.00;;;
2390;ABRAÇADEIRA 14MM 108-120;108-120;11.50;;;
2391;ABRAÇADEIRA 14MM 127-140;127-140;13.00;;;
2384;ABRAÇADEIRA 14MM 13-19;13-19;6.70;;;
2385;ABRAÇADEIRA 14MM 19-27;19-27;6.50;;;
2386;ABRAÇADEIRA 14MM 25-38;25-38;7.50;;;
2387;ABRAÇADEIRA 14MM 38-51;38-51;7.50;;;
2388;ABRAÇADEIRA 14MM 51-64;51-64;8.50;;;
2389;ABRAÇADEIRA 14MM 70-89;70-89;10.00;;;
2877;ABRAÇADEIRA 14MM 80-100;80-100;12.00;;;
563;ABRAÇADEIRA 32MM 149-161;149-161;45.00;;;
1469;ABRAÇADEIRA AÇO CARBONO;25-38;4.54;;;
4374;ABRAÇADEIRA DE AÇO 64-83;64-83;6.70;;;
4004;ABRAÇADEIRA PLASTICA 200X3,5MM;;1.39;;;
2379;ABRAÇADEIRA PLASTICA 300X4,8MM;300X4,8MM;42.44;;;
344;ABRAÇADEIRA PLASTICA 530X9MM;;132.00;;;
4370;ADAPTADOR MACHO;ORFS X UNF 12-12 1.3/16;60.00;;;
2857;ADAPTADOR MACHO/FEMEA 16MM X 22MM;16MM X 22MM;17.50;;;
2754;ADESIVO ALTA TEMPERATURA 850 ALTA TEMPERATURA;850 ALTA TEMPERATURA ATE 235C;12.46;;;
1992;ADESIVO EPÓXI ARALDITE;TEKBOND;36.00;;;
4174;ADESIVO HIBRIDO PARABRISAS 280ML;;49.90;;;
1226;ADESIVO INSTANTANEO VISC MEDIO 20G;;11.00;;;
488;ADESIVO PARA LONA DE FREIO;3M;9.08;;;
490;ADESIVO PLASTICO PARA PVC 75G;TIGRE;13.13;;;
497;ADESIVO REPARADOR DE PARA-CHOQUES;CHOQUE;127.00;;;
1227;ADESIVO SILICONE 598 BLACK 70G;ADESIVO;87.00;;;
445;ADESIVO TRAVA ROSCA;452426;12.00;;;
790;ADITIVO CAT ELC PREMIX;2154246;55.43;;;
74;ADITIVO PARA RADIADOR CAMINHÃO;ADITIVO1;17.50;;;
222;ADTIVO VOLVO 20L;22567335;74.20;;;
1460;AGULHA PARA APLICAÇÃO DE REPARO;BORRACHARIA;56.11;;;
1107;ALAVANCA PARA CHAVE DE RODA;MÃO DE FORÇA;205.00;;;
1260;ALICATE ANEL EXTERNO BICO RETO;8000J2;47.12;;;
2091;ALICATE ANEL EXTERNO PONTA CURVA;8000A21;47.12;;;
962;"ALICATE DE PRESSÃO 10"" GEDORE";ALICATE DE P;50.55;;;
2374;ALICATE DECAPADOR DE FIO ELETRICO;"8"" 96-230 (STANLEY)";135.00;;;
2233;"ALICATE TRAVA INTERNO 7"" CURVO";J21;47.12;;;
2234;"ALICATE TRAVA INTERNO 7"" RETO";J2;47.12;;;
2106;"ALICATE UNIVERSAL 8"" GEDORE";"8"" GEDORE";39.83;;;
1848;ALMOTOLIA STARFER BICO FLEX;2850;36.00;;;
916;ANEL DE AJUSTE ROLAMENTO ALTERNADO;ETE 75243;10.00;;;
3054;ANEL DE VEDAÇÃO COM GUIA PARA VASO SANITARIO;VASO SANITATIO;15.00;;;
1473;ANEL DE VEDAÇÃO PARA PNEU 20,5 17,5;OR25TU;36.72;;;
4164;ANEL DE VEDAÇÃO PARA PNEUS OR-25-TU;OR25TU;32.87;;;
4165;ANEL DE VEDAÇÃO PARA PNEUS OR325T;OR325T;99.00;;;
3230;ANEL SINCRONIZADO 1º, 2º, 3º E 4º 2324K;14330271;704.72;;;
786;ANTENA DIGITAL COM RECEPTOR;ANTENA;620.00;;;
3357;ANTI-RESPINGO DE SOLDA SPRAY PARA MIG;7895678098403;39.00;;;
1690;APLICADOR DE SILICONE;1789;21.50;;;
1509;AR CONDICIONADO ELETRICO AUTOMOTIVO;DS600033;4800.00;;;
954;ARAME MIG AC 1.0 ROLO 15KG;1.0;430.00;;;
4026;ARRUELA DE VEDAÇÃO DE ALUMINIO 10X14X1;;30.00;;;
4030;ARRUELA DE VEDAÇÃO DE ALUMINIO 12X16X1 5MM;;47.00;;;
4028;ARRUELA DE VEDAÇÃO DE ALUMINIO 14 3X20X1 5;;65.00;;;
4027;ARRUELA DE VEDAÇÃO DE ALUMINIO 16X22X1 5MM;;72.00;;;
4029;ARRUELA DE VEDAÇÃO DE ALUMINIO 8X12X1 5MM;;28.00;;;
1111;ASSENTO SANIT.IDEALE BRANCO HERC;VASO;45.00;;;
3341;AUTOMÁTICO AUXILIAR DE PARTIDA 12V;ZM 3-407;155.00;;;
1850;BARRA FERRO REDONDA 1/2X3MT;1530;56.84;;;
3089;BARRA ROSCADA ZINCADA 1/2;;16.65;;;
1837;BATEIRA PARA MASCARA DE SOLDA 3V C;DSM71193;14.70;;;
812;BATERIA 100AMP;BATERIA100;824.20;;;
810;BATERIA 150AMP;BATERIA150;1090.70;;;
1765;BATERIA 65AMP;65AMP;521.00;;;
1151;BATERIA ACDELCO 75AMP;75AMP;635.00;;;
1846;"BEDAME 3/4"" 50%";3/4 X 1/8 X;100.00;;;
1851;BICO DE CORTE OXI/GLP Nº4;2731;60.00;;;
1852;BICO DE CORTE OXI/GLP Nº6;2732;60.00;;;
1853;BICO DE CORTE OXI/GLP Nº8;2587;60.00;;;
847;BICO DE ENGRAXADEIRA PNEUMATICA NOVE54;15151;17.00;;;
4271;BICO DUPLO ANGULAR DE PNEU;SCH 0712;41.00;;;
2383;BICO PARA ENCHER PNEU RETO;1295SER;40.79;;;
2693;BICO PARA PNEU SEM CAMARA CARREGADEIRA;TR-618A RETA;58.00;;;
842;BICO PARA PNEU SEM CAMARA R34561-313;R34561-313;17.50;;;
1774;BICO PULVERIZADOR BOTAO ALUM. LUBE;5994;38.00;;;
3057;BICO VALVULA JUMBO PARA PNEU SEM CAMARA;TRJ651;53.08;;;
1842;"BITS 50% COBALTO C 3/8X4"" HARDSTEE";HS-419;105.00;;;
2052;BLOCO COLORIDO ADESIVO;2052;22.50;;;
1694;"BLOCO VOLUMETRICO 1"" X 1"" 12A TRANSFERENCIA DE COMBUSTUVEL";1123;3770.00;;;
2307;BOCAL PARA LAMPADA (SOQUETE) E-27;(SOQUETE) E-27;3.61;;;
2098;BOIA CAIXA D'AGUA SENSOR DE NIVEL;2022184;48.50;;;
1589;"BOMBA DE ENGRENAGEM 11/2""";;4200.00;;;
1956;BOMBA DE GRAXA MANUAL 8KG;8KG;599.00;;;
4119;BOMBA DE ÓLEO DO MOTOR L200 91/11 L300 95/11 PAJERO 90/93;L2511900B / 54864268;1237.00;;;MITSUBISHI L200
1525;BOMBA PNEUMATICA DE GRAXA 200KG CO;B280.0001;2991.00;;;
1201;BOMBA SUBMERSA 1,5CV 220V;87600794-00;1529.91;;;
589;BONECA ENGATE BOCA DE LOBO COM PORCA;33266;725.00;;;
